Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 1.5
Tolerance: 1e-10
Iterations needed: 71146
Calculation time; 2.83169

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
5.80974 0.00591676 0.00789039 0.00919592
11.6188 0.01196 0.0159207 0.0185211
17.5022 0.0181093 0.0240346 0.0278754
23.4189 0.0243439 0.0321743 0.0371572
29.3539 0.0306426 0.040282 0.0462653
35.3009 0.0369839 0.0482994 0.0550996
41.2698 0.0433462 0.0561689 0.0635626
47.3398 0.0497078 0.0638335 0.07156
53.7441 0.0560471 0.0712376 0.0790022
60.7838 0.0623425 0.0783274 0.0858054
68.6294 0.0685728 0.0850511 0.091892
77.3165 0.0747173 0.0913595 0.097192
86.8328 0.0807556 0.0972063 0.101644
97.1603 0.086668 0.102549 0.105194
108.284 0.0924354 0.107347 0.1078
120.192 0.0980395 0.111566 0.109427
132.876 0.103463 0.115175 0.110053
146.328 0.108689 0.118145 0.109665
160.542 0.113702 0.120456 0.108261
175.511 0.118488 0.122088 0.105849
191.232 0.123034 0.123029 0.102449
207.697 0.127327 0.123271 0.0980903
224.903 0.131357 0.122811 0.0928115
242.844 0.135113 0.121649 0.0866616
261.515 0.138588 0.119792 0.0796978
280.912 0.141775 0.117251 0.0719857
301.029 0.144667 0.114041 0.0635981
321.861 0.147261 0.110181 0.0546145
343.402 0.149552 0.105696 0.0451198
365.647 0.151541 0.100612 0.0352039
388.591 0.153225 0.0949608 0.02496
412.227 0.154606 0.088777 0.0144843
436.55 0.155685 0.0820978 0.00387457
461.554 0.156466 0.0749632 -0.00677094
487.232 0.156953 0.0674155 -0.0173542
513.578 0.157151 0.059499 -0.0277788
540.586 0.157066 0.0512595 -0.0379504
568.249 0.156707 0.0427441 -0.0477782
596.561 0.15608 0.0340007 -0.0571754
625.513 0.155195 0.0250776 -0.0660603
655.1 0.154062 0.0160234 -0.0743567
685.313 0.152692 0.00688622 -0.081995
716.146 0.151094 -0.00228617 -0.0889122
747.591 0.149281 -0.011447 -0.0950531
779.64 0.147265 -0.0205507 -0.10037
812.285 0.145058 -0.0295531 -0.104823
845.518 0.142673 -0.038412 -0.108382
879.332 0.140122 -0.047087 -0.111023
913.718 0.13742 -0.0555398 -0.112732
948.667 0.134579 -0.0637349 -0.113503
984.171 0.131612 -0.0716391 -0.11334
1020.22 0.128533 -0.079222 -0.11225
1056.81 0.125354 -0.0864559 -0.110254
1093.93 0.122088 -0.0933162 -0.107376
1131.56 0.118749 -0.0997813 -0.103648
1169.71 0.115348 -0.105832 -0.0991094
1208.36 0.111898 -0.111454 -0.0938038
1247.49 0.10841 -0.116633 -0.0877811
1287.12 0.104896 -0.121361 -0.0810956
1327.21 0.101366 -0.12563 -0.0738054
1367.76 0.0978312 -0.129436 -0.0659722
1408.77 0.0943011 -0.132779 -0.05766
1450.22 0.0907852 -0.13566 -0.0489353
1492.1 0.0872924 -0.138083 -0.0398653
1534.41 0.083831 -0.140054 -0.0305183
1577.13 0.0804087 -0.141582 -0.0209626
1620.24 0.0770327 -0.142677 -0.0112658
1663.75 0.0737097 -0.143353 -0.00149437
1707.64 0.0704457 -0.143623 0.00828677
1751.9 0.0672462 -0.143503 0.0180149
1796.52 0.0641162 -0.14301 0.0276301
1841.48 0.06106 -0.142162 0.0370751
1886.78 0.0580815 -0.14098 0.0462964
1932.41 0.055184 -0.139482 0.0552439
1978.35 0.0523704 -0.13769 0.0638717
2024.6 0.049643 -0.135624 0.0721378
2071.14 0.0470036 -0.133307 0.0800048
2117.95 0.0444538 -0.130759 0.0874395
2165.04 0.0419945 -0.128004 0.0944134
2212.39 0.0396264 -0.125061 0.100902
2259.98 0.0373497 -0.121953 0.106886
2307.8 0.0351643 -0.1187 0.112351
2355.85 0.0330697 -0.115322 0.117284
2404.11 0.0310652 -0.111841 0.12168
2452.57 0.0291498 -0.108274 0.125536
2501.22 0.0273223 -0.10464 0.128853
2550.04 0.0255811 -0.100957 0.131635
2599.03 0.0239245 -0.097241 0.133891
2648.16 0.0223507 -0.0935087 0.135631
2697.44 0.0208576 -0.0897746 0.13687
2746.85 0.0194431 -0.0860526 0.137625
2796.37 0.0181048 -0.0823557 0.137913
2845.99 0.0168404 -0.0786958 0.137757
2895.71 0.0156474 -0.0750838 0.137177
2945.5 0.0145232 -0.0715296 0.136199
2995.36 0.0134653 -0.0680422 0.134847
3045.28 0.0124711 -0.0646296 0.133148
3095.24 0.011538 -0.0612987 0.131127
3145.23 0.0106633 -0.0580558 0.128812
3195.24 0.00984446 -0.054906 0.126231
3245.25 0.00907883 -0.0518538 0.123409
3295.26 0.00836388 -0.0489029 0.120375
3345.25 0.0076971 -0.0460559 0.117154
3395.21 0.007076 -0.0433152 0.113772
3445.13 0.00649818 -0.040682 0.110255
3494.99 0.00596128 -0.0381574 0.106626
3544.78 0.00546301 -0.0357414 0.102909
3594.5 0.00500114 -0.033434 0.0991263
3644.12 0.00457355 -0.0312342 0.095298
3693.64 0.00417816 -0.0291409 0.0914443
3743.04 0.00381298 -0.0271526 0.0875835
3792.32 0.0034761 -0.0252672 0.0837328
3841.46 0.0031657 -0.0234825 0.0799081
3890.44 0.00288003 -0.0217961 0.0761237
3939.26 0.00261744 -0.0202051 0.0723928
3987.91 0.00237633 -0.0187067 0.0687272
4036.36 0.00215521 -0.0172976 0.0651374
4084.62 0.00195266 -0.0159748 0.0616328
4132.67 0.00176732 -0.0147349 0.0582212
4180.49 0.00159794 -0.0135744 0.0549096
4228.08 0.00144331 -0.01249 0.0517038
4275.43 0.00130231 -0.0114782 0.0486084
4322.51 0.00117388 -0.0105355 0.0456271
4369.33 0.00105704 -0.00965858 0.0427627
4415.86 0.000950863 -0.00884398 0.040017
4462.11 0.000854478 -0.00808839 0.0373911
4508.04 0.000767083 -0.00738852 0.0348854
4553.67 0.000687928 -0.0067412 0.0324995
4598.97 0.000616316 -0.00614331 0.0302324
4643.93 0.000551599 -0.00559185 0.0280826
4688.54 0.000493179 -0.00508392 0.0260482
4732.8 0.0004405 -0.00461673 0.0241267
4776.68 0.000393051 -0.00418758 0.0223153
4820.19 0.00035036 -0.00379391 0.020611
4863.3 0.000311991 -0.00343328 0.0190103
4906.02 0.000277545 -0.00310335 0.0175096
4948.32 0.000246653 -0.00280189 0.0161053
4990.2 0.00021898 -0.00252683 0.0147935
5031.64 0.000194217 -0.00227616 0.0135701
5072.65 0.000172081 -0.00204803 0.0124312
5113.2 0.000152316 -0.00184067 0.0113726
5153.29 0.000134686 -0.00165244 0.0103904
5192.9 0.000118977 -0.00148178 0.00948044
5232.03 0.000104996 -0.00132725 0.00863887
5270.68 9.25653e-05 -0.00118751 0.00786173
5308.82 8.1525e-05 -0.00106129 0.00714523
5346.45 7.17299e-05 -0.000947424 0.00648566
5383.56 6.30489e-05 -0.000844836 0.00587942
5420.14 5.53634e-05 -0.00075252 0.00532305
5456.19 4.85665e-05 -0.000669549 0.00481322
5491.68 4.25617e-05 -0.000595068 0.00434671
5526.63 3.72624e-05 -0.00052829 0.00392049
5561.01 3.25905e-05 -0.00046849 0.00353163
5594.81 2.84762e-05 -0.000415003 0.00317738
5628.04 2.48566e-05 -0.000367221 0.00285512
5660.68 2.16757e-05 -0.000324585 0.00256238
5692.72 1.88831e-05 -0.000286586 0.00229682
5724.16 1.64341e-05 -0.000252761 0.00205627
5754.98 1.42886e-05 -0.000222686 0.00183866
5785.19 1.24109e-05 -0.000195977 0.00164209
5814.76 1.07693e-05 -0.000172285 0.00146475
5843.71 9.33569e-06 -0.000151294 0.00130499
5872.01 8.08494e-06 -0.000132717 0.00116126
5899.66 6.99486e-06 -0.000116296 0.00103212
5926.66 6.04581e-06 -0.000101797 0.000916244
5953 5.22038e-06 -8.90102e-05 0.000812409
5978.67 4.50322e-06 -7.77462e-05 0.000719486
6003.66 3.88076e-06 -6.7835e-05 0.000636436
6027.97 3.34105e-06 -5.9124e-05 0.000562307
6051.6 2.87357e-06 -5.14766e-05 0.000496225
6074.53 2.46908e-06 -4.47704e-05 0.000437392
6096.76 2.11943e-06 -3.88963e-05 0.000385079
6118.29 1.81751e-06 -3.37568e-05 0.000338623
6139.11 1.55705e-06 -2.9265e-05 0.000297419
6159.21 1.3326e-06 -2.53435e-05 0.000260919
6178.6 1.13937e-06 -2.19239e-05 0.000228625
6197.25 9.73186e-07 -1.8945e-05 0.000200087
6215.18 8.30401e-07 -1.63529e-05 0.000174897
6232.37 7.07841e-07 -1.40997e-05 0.00015269
6248.82 6.02744e-07 -1.21431e-05 0.000133133
6264.53 5.12706e-07 -1.04459e-05 0.00011593
6279.48 4.3564e-07 -8.97498e-06 0.000100813
6293.68 3.69734e-07 -7.70144e-06 8.75419e-05
6307.12 3.13419e-07 -6.59971e-06 7.59017e-05
6319.79 2.65335e-07 -5.64733e-06 6.57002e-05
6331.69 2.24305e-07 -4.82458e-06 5.67651e-05
6342.82 1.89311e-07 -4.11414e-06 4.89427e-05
6353.15 1.59473e-07 -3.50082e-06 4.20958e-05
6362.68 1.34031e-07 -2.97129e-06 3.61016e-05
6371.41 1.12328e-07 -2.51387e-06 3.08507e-05
6379.3 9.37957e-08 -2.11828e-06 2.62453e-05
6386.32 7.79428e-08 -1.77551e-06 2.21977e-05
6392.43 6.43423e-08 -1.4776e-06 1.86294e-05
6397.47 5.2623e-08 -1.21752e-06 1.54696e-05
6401.38 4.24601e-08 -9.89039e-07 1.26543e-05
6405.52 3.35674e-08 -7.86553e-07 1.01251e-05
6411.09 2.56905e-08 -6.05013e-07 7.82827e-06
6418.17 1.85999e-08 -4.39793e-07 5.71385e-06
6427.13 1.2085e-08 -2.86589e-07 3.73453e-06
6439.21 5.94839e-09 -1.41315e-07 1.84481e-06
