Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 1
Tolerance: 1e-10
Iterations needed: 71284
Calculation time; 2.8254

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
4.05767 0.00406359 -0.0055161 0.00649118
7.90874 0.00821847 -0.0111428 0.0130967
11.8172 0.0124552 -0.0168538 0.0197692
15.7589 0.0167643 -0.022622 0.0264605
19.784 0.0211357 -0.0284198 0.033122
24.1148 0.0255594 -0.0342196 0.0397047
29.0628 0.0300251 -0.0399933 0.0461602
34.7921 0.0345224 -0.0457129 0.0524405
41.3315 0.039041 -0.0513505 0.0584987
48.6728 0.0435703 -0.0568786 0.0642892
56.8053 0.0480996 -0.0622699 0.069768
65.7208 0.0526186 -0.0674979 0.0748935
75.4128 0.0571168 -0.0725367 0.079626
85.8765 0.0615836 -0.0773613 0.0839289
97.1075 0.066009 -0.0819475 0.0877681
109.102 0.0703828 -0.0862724 0.0911132
121.856 0.0746952 -0.0903143 0.0939367
135.366 0.0789363 -0.0940528 0.0962152
149.628 0.0830969 -0.0974689 0.0979289
164.638 0.0871679 -0.100545 0.099062
180.393 0.0911403 -0.103266 0.0996028
196.888 0.0950058 -0.105617 0.0995436
214.12 0.0987563 -0.107586 0.0988812
232.084 0.102384 -0.109162 0.0976163
250.775 0.105882 -0.110337 0.0957542
270.189 0.109243 -0.111104 0.093304
290.322 0.112461 -0.111458 0.090279
311.167 0.11553 -0.111396 0.0866965
332.721 0.118444 -0.110917 0.0825777
354.977 0.121199 -0.110021 0.0779473
377.931 0.12379 -0.108713 0.0728335
401.576 0.126214 -0.106995 0.0672679
425.908 0.128467 -0.104875 0.061285
450.919 0.130545 -0.10236 0.0549218
476.604 0.132448 -0.0994612 0.0482183
502.957 0.134173 -0.0961892 0.0412161
529.971 0.135718 -0.0925573 0.033959
557.639 0.137084 -0.0885799 0.0264922
585.955 0.13827 -0.0842728 0.0188621
614.913 0.139275 -0.0796533 0.011116
644.503 0.140102 -0.0747397 0.00330173
674.721 0.140751 -0.0695512 -0.00453279
705.557 0.141223 -0.0641083 -0.0123396
737.005 0.141522 -0.0584321 -0.0200715
769.058 0.141649 -0.0525444 -0.0276816
801.706 0.141607 -0.0464678 -0.0351246
834.942 0.1414 -0.0402251 -0.0423562
868.759 0.141032 -0.0338398 -0.0493342
903.147 0.140507 -0.0273352 -0.0560178
938.098 0.139829 -0.0207351 -0.0623688
