Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 5
Tolerance: 1e-10
Iterations needed: 69710
Calculation time; 2.81239

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
4697.03 4.2223e-11 1.50424e-09 -2.94473e-08
4742.53 2.86828e-11 1.03788e-09 -2.06549e-08
4787.69 1.9433e-11 7.13757e-10 -1.44382e-08
4832.52 1.3132e-11 4.8925e-10 -1.00582e-08
4877 8.84439e-12 3.34262e-10 -6.98298e-09
4921.11 5.93283e-12 2.27648e-10 -4.83151e-09
4964.85 3.96473e-12 1.54535e-10 -3.33157e-09
5008.2 2.64518e-12 1.04567e-10 -2.2895e-09
5051.16 1.75435e-12 7.05385e-11 -1.56805e-09
5093.7 1.15559e-12 4.74306e-11 -1.07031e-09
5135.83 7.53158e-13 3.17789e-11 -7.28099e-10
5177.53 4.87836e-13 2.12213e-11 -4.93636e-10
5218.8 3.12356e-13 1.4128e-11 -3.33547e-10
5259.61 2.05761e-13 9.37635e-12 -2.24606e-10
5299.95 1.36265e-13 6.19888e-12 -1.50746e-10
5339.83 8.70175e-14 4.08761e-12 -1.00838e-10
5379.23 6.14092e-14 2.6848e-12 -6.72238e-11
5418.13 4.88351e-14 1.75662e-12 -4.46642e-11
5456.53 4.4526e-14 1.15537e-12 -2.95787e-11
5494.42 3.12442e-14 7.65546e-13 -1.95045e-11
5531.79 2.40547e-14 5.09451e-13 -1.28232e-11
5568.62 2.29028e-14 3.51445e-13 -8.40013e-12
5604.91 1.81224e-14 2.47733e-13 -5.48662e-12
5640.64 9.08549e-15 1.8778e-13 -3.56742e-12
5675.81 -1.95346e-15 1.34395e-13 -2.31616e-12
5710.41 -7.52871e-15 1.08565e-13 -1.48868e-12
5744.43 -1.52415e-14 8.069e-14 -9.57012e-13
5777.85 -1.58288e-14 6.32369e-14 -6.02408e-13
5810.66 -1.49563e-14 4.16275e-14 -3.83737e-13
5842.87 -1.91373e-14 3.37572e-14 -2.4239e-13
5874.45 -2.43459e-14 2.32772e-14 -1.62988e-13
5905.39 -1.61352e-14 2.17659e-14 -1.03327e-13
5935.69 -4.13462e-15 1.56389e-14 -7.52471e-14
5965.33 3.5734e-16 1.6674e-14 -4.07166e-14
5994.31 1.9683e-15 1.52127e-16 -2.29654e-14
6022.61 7.71063e-15 -8.1876e-15 -8.93586e-15
6050.22 1.65415e-14 -5.1668e-15 -1.70029e-15
6077.12 2.06282e-14 -9.16415e-15 -4.15721e-16
6103.32 2.35045e-14 -1.04248e-14 -1.441e-15
6128.78 2.5349e-14 -4.78399e-15 -8.95836e-16
6153.5 2.03672e-14 3.39948e-15 3.22155e-15
6177.46 2.31559e-14 -6.70402e-15 1.73129e-15
6200.65 1.66446e-14 -9.03618e-15 1.05511e-14
6223.04 1.71825e-14 -6.28814e-15 8.31942e-15
6244.62 6.597e-15 -5.04373e-15 -4.9472e-16
6265.35 -2.55279e-15 -1.07913e-14 -4.23218e-15
6285.22 -2.55969e-15 4.0374e-16 -4.96451e-15
6304.18 -3.31733e-15 3.93395e-15 -6.67327e-15
6322.2 -1.21668e-14 8.56314e-18 -5.51987e-15
6339.2 -2.32652e-14 -2.13344e-15 4.0905e-15
6355.13 -2.54649e-14 2.08057e-15 -5.84074e-15
6369.87 -2.07333e-14 -4.40011e-15 -2.48471e-15
6383.22 -2.57144e-14 -2.09294e-14 -8.51865e-15
