Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 0.25
Tolerance: 1e-10
Iterations needed: 71708
Calculation time; 2.76332

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
1.30658 0.00109608 0.00215086 -0.00345404
2.67045 0.00221868 0.00435191 -0.00698425
4.71663 0.00336719 0.00660009 -0.0105812
7.51475 0.00454101 0.00889225 -0.0142351
11.0782 0.00573951 0.0112252 -0.017936
15.4116 0.00696202 0.0135955 -0.0216737
20.5168 0.00820787 0.0159997 -0.0254379
26.3944 0.00947633 0.0184345 -0.029218
33.0441 0.0107667 0.0208961 -0.0330033
40.4651 0.0120782 0.0233809 -0.036783
48.6559 0.01341 0.0258852 -0.0405463
57.6152 0.0147614 0.0284052 -0.0442824
67.341 0.0161316 0.030937 -0.0479804
77.8311 0.0175197 0.0334769 -0.0516294
89.0831 0.0189248 0.0360208 -0.0552186
101.095 0.0203462 0.0385648 -0.0587374
113.863 0.0217828 0.041105 -0.0621752
127.384 0.0232339 0.0436373 -0.0655216
141.656 0.0246984 0.0461577 -0.0687663
156.675 0.0261754 0.0486622 -0.0718994
172.437 0.0276641 0.0511468 -0.0749112
188.938 0.0291634 0.0536075 -0.0777921
206.175 0.0306724 0.0560402 -0.080533
224.144 0.0321901 0.0584411 -0.083125
242.839 0.0337154 0.0608061 -0.0855598
262.257 0.0352475 0.0631314 -0.0878292
282.393 0.0367852 0.065413 -0.0899257
303.241 0.0383276 0.0676472 -0.0918418
324.797 0.0398737 0.0698302 -0.093571
347.056 0.0414224 0.0719583 -0.095107
370.012 0.0429728 0.0740278 -0.0964439
393.659 0.0445236 0.0760352 -0.0975766
417.992 0.0460741 0.077977 -0.0985003
443.005 0.047623 0.0798498 -0.0992109
468.692 0.0491694 0.0816502 -0.0997047
495.046 0.0507122 0.0833752 -0.0999789
522.061 0.0522505 0.0850216 -0.100031
549.73 0.0537831 0.0865863 -0.0998589
578.048 0.0553091 0.0880666 -0.0994618
607.006 0.0568274 0.0894595 -0.0988389
636.597 0.0583371 0.0907626 -0.0979904
666.815 0.0598371 0.0919733 -0.0969167
697.653 0.0613264 0.0930891 -0.0956192
729.102 0.0628041 0.094108 -0.0940997
761.154 0.0642691 0.0950276 -0.0923607
793.803 0.0657206 0.0958462 -0.0904053
827.04 0.0671574 0.0965618 -0.0882373
860.857 0.0685788 0.0971728 -0.0858608
895.246 0.0699838 0.0976777 -0.0832808
930.198 0.0713714 0.0980752 -0.0805026
965.705 0.0727407 0.098364 -0.0775323
1001.76 0.074091 0.0985431 -0.0743763
1038.35 0.0754212 0.0986115 -0.0710418
1075.47 0.0767307 0.0985687 -0.0675362
1113.11 0.0780184 0.098414 -0.0638676
1151.25 0.0792836 0.0981471 -0.0600445
1189.9 0.0805256 0.0977677 -0.0560758
1229.04 0.0817435 0.0972757 -0.0519708
1268.67 0.0829367 0.0966713 -0.0477393
1308.76 0.0841042 0.0959548 -0.0433913
1349.32 0.0852456 0.0951265 -0.0389374
1390.33 0.08636 0.094187 -0.0343881
1431.78 0.0874468 0.0931372 -0.0297545
1473.66 0.0885054 0.0919779 -0.025048
1515.97 0.0895351 0.0907102 -0.0202799
1558.69 0.0905354 0.0893354 -0.0154618
1601.81 0.0915056 0.0878548 -0.0106058
1645.32 0.0924453 0.08627 -0.00572352
1689.21 0.093354 0.0845826 -0.000827164
1733.47 0.0942311 0.0827946 0.00407123
1778.08 0.0950761 0.0809078 0.00895957
1823.05 0.0958887 0.0789245 0.0138258
1868.35 0.0966685 0.0768468 0.0186577
1913.98 0.0974149 0.0746771 0.0234435
1959.92 0.0981278 0.0724181 0.0281713
2006.17 0.0988067 0.0700722 0.0328292
2052.71 0.0994514 0.0676424 0.0374058
2099.53 0.100061 0.0651314 0.0418897
2146.62 0.100637 0.0625422 0.0462698
2193.96 0.101177 0.059878 0.0505351
2241.55 0.101682 0.0571419 0.0546752
2289.38 0.102152 0.0543372 0.0586797
2337.43 0.102586 0.0514673 0.0625388
2385.69 0.102985 0.0485357 0.0662428
2434.15 0.103348 0.0455459 0.0697827
2482.8 0.103675 0.0425015 0.0731498
2531.62 0.103967 0.0394062 0.0763357
2580.61 0.104222 0.0362637 0.0793325
2629.75 0.104442 0.0330778 0.0821331
2679.02 0.104626 0.0298525 0.0847305
2728.43 0.104774 0.0265915 0.0871184
2777.95 0.104887 0.0232988 0.089291
2827.58 0.104964 0.0199783 0.0912431
2877.29 0.105006 0.0166341 0.0929701
2927.09 0.105013 0.0132702 0.0944678
2976.95 0.104985 0.0098905 0.0957326
3026.87 0.104922 0.00649911 0.0967617
3076.83 0.104824 0.00310005 0.0975528
3126.82 0.104693 -0.000302675 0.098104
3176.83 0.104527 -0.00370504 0.0984143
3226.84 0.104327 -0.00710305 0.0984831
3276.85 0.104094 -0.0104927 0.0983104
3326.84 0.103828 -0.0138701 0.0978971
3376.8 0.10353 -0.0172314 0.0972442
3426.72 0.103199 -0.0205725 0.0963538
3476.58 0.102836 -0.0238898 0.0952282
3526.37 0.102441 -0.0271793 0.0938704
3576.09 0.102016 -0.0304375 0.0922841
3625.71 0.10156 -0.0336605 0.0904734
3675.23 0.101073 -0.0368449 0.088443
3724.64 0.100557 -0.039987 0.0861981
3773.92 0.100012 -0.0430835 0.0837444
3823.05 0.0994382 -0.0461308 0.0810882
3872.04 0.098836 -0.0491257 0.0782362
3920.86 0.0982062 -0.052065 0.0751955
3969.51 0.0975492 -0.0549455 0.0719738
4017.96 0.0968656 -0.0577642 0.0685791
4066.22 0.096156 -0.0605181 0.0650198
4114.27 0.0954209 -0.0632045 0.0613047
4162.1 0.094661 -0.0658204 0.0574429
4209.69 0.0938767 -0.0683634 0.053444
4257.03 0.0930688 -0.0708308 0.0493176
4304.12 0.0922377 -0.0732203 0.0450739
4350.93 0.0913841 -0.0755295 0.0407232
4397.47 0.0905086 -0.0777562 0.0362759
4443.71 0.0896119 -0.0798983 0.0317427
4489.65 0.0886944 -0.0819539 0.0271346
4535.28 0.087757 -0.0839211 0.0224625
4580.58 0.0868001 -0.0857982 0.0177376
4625.54 0.0858244 -0.0875836 0.012971
4670.16 0.0848306 -0.0892758 0.00817407
4714.41 0.0838192 -0.0908735 0.00335799
4758.3 0.0827908 -0.0923753 -0.00146592
4801.81 0.0817462 -0.0937802 -0.00628642
4844.92 0.080686 -0.0950872 -0.0110923
4887.64 0.0796106 -0.0962954 -0.0158725
4929.94 0.0785209 -0.0974041 -0.020616
4971.82 0.0774173 -0.0984126 -0.0253119
5013.27 0.0763006 -0.0993205 -0.0299495
5054.27 0.0751712 -0.100127 -0.0345184
5094.82 0.0740299 -0.100833 -0.0390082
5134.91 0.0728771 -0.101437 -0.0434089
5174.53 0.0717136 -0.101939 -0.0477106
5213.67 0.0705398 -0.10234 -0.0519038
5252.31 0.0693564 -0.10264 -0.0559793
5290.45 0.0681639 -0.102839 -0.0599282
5328.09 0.0669629 -0.102937 -0.0637418
5365.2 0.0657539 -0.102936 -0.0674121
5401.78 0.0645375 -0.102835 -0.070931
5437.83 0.0633142 -0.102635 -0.0742912
5473.33 0.0620846 -0.102338 -0.0774856
5508.28 0.060849 -0.101943 -0.0805075
5542.66 0.0596082 -0.101453 -0.0833507
5576.47 0.0583624 -0.100868 -0.0860095
5609.7 0.0571123 -0.10019 -0.0884785
5642.34 0.0558582 -0.0994188 -0.0907528
5674.39 0.0546006 -0.0985571 -0.0928281
5705.83 0.05334 -0.0976058 -0.0947004
5736.66 0.0520768 -0.0965665 -0.0963662
5766.87 0.0508114 -0.0954409 -0.0978226
5796.45 0.0495443 -0.0942306 -0.099067
5825.4 0.0482756 -0.0929372 -0.100097
5853.71 0.047006 -0.0915626 -0.100912
5881.37 0.0457357 -0.0901086 -0.101511
5908.37 0.044465 -0.0885771 -0.101892
5934.72 0.0431943 -0.0869701 -0.102056
5960.39 0.0419239 -0.0852896 -0.102003
5985.39 0.0406541 -0.0835375 -0.101735
6009.72 0.0393851 -0.081716 -0.101251
6033.35 0.0381173 -0.0798272 -0.100555
6056.3 0.0368509 -0.0778732 -0.0996482
6078.54 0.035586 -0.0758562 -0.0985332
6100.09 0.034323 -0.0737784 -0.0972133
6120.92 0.033062 -0.0716421 -0.0956918
6141.04 0.0318031 -0.0694494 -0.0939727
6160.44 0.0305467 -0.0672026 -0.0920603
6179.12 0.0292927 -0.0649041 -0.0899592
6197.08 0.0280413 -0.0625561 -0.0876745
6214.3 0.0267927 -0.0601608 -0.0852114
6230.78 0.0255469 -0.0577205 -0.0825756
6246.52 0.0243039 -0.0552376 -0.0797733
6261.52 0.023064 -0.0527144 -0.0768106
6275.77 0.021827 -0.050153 -0.0736941
6289.27 0.020593 -0.0475557 -0.0704307
6302.02 0.019362 -0.0449249 -0.0670275
6314 0.018134 -0.0422627 -0.0634917
6325.23 0.016909 -0.0395713 -0.059831
6335.69 0.0156868 -0.036853 -0.0560529
6345.38 0.0144675 -0.0341098 -0.0521654
6354.31 0.0132508 -0.031344 -0.0481766
6362.46 0.0120368 -0.0285576 -0.0440945
6369.84 0.0108252 -0.0257527 -0.0399275
6376.44 0.00961599 -0.0229314 -0.0356839
6382.27 0.00840887 -0.0200956 -0.0313722
6387.31 0.0072037 -0.0172473 -0.0270009
6391.57 0.00600026 -0.0143885 -0.0225785
6395.04 0.00479831 -0.011521 -0.0181136
6397.72 0.00359759 -0.00864659 -0.0136148
6399.59 0.00239784 -0.00576715 -0.00909056
6400.56 0.00119875 -0.00288439 -0.00454948
