Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 0.05
Tolerance: 1e-10
Iterations needed: 71523
Calculation time; 2.93589

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
0.854853 0.000735779 0.00190077 0.00327144
2.17428 0.00148956 0.00384648 0.00661605
4.21772 0.00226116 0.00583504 0.0100259
7.01511 0.0030504 0.0078643 0.0134929
10.5778 0.00385708 0.00993203 0.0170087
14.9105 0.00468098 0.0120359 0.0205646
20.0151 0.00552188 0.0141736 0.024152
25.8922 0.00637955 0.0163426 0.0277621
32.5415 0.00725376 0.0185405 0.0313857
39.9621 0.00814423 0.0207648 0.0350137
48.1528 0.00905072 0.0230127 0.038637
57.1118 0.00997294 0.0252816 0.0422463
66.8374 0.0109106 0.0275689 0.0458322
77.3274 0.0118634 0.0298717 0.0493854
88.5793 0.0128311 0.0321873 0.0528967
100.591 0.0138133 0.0345127 0.0563567
113.359 0.0148097 0.0368453 0.0597562
126.88 0.01582 0.0391819 0.063086
141.152 0.0168438 0.0415197 0.0663373
156.171 0.0178808 0.0438558 0.0695009
171.933 0.0189306 0.0461871 0.0725682
188.434 0.0199928 0.0485106 0.0755307
205.671 0.0210671 0.0508234 0.07838
223.639 0.022153 0.0531223 0.0811078
242.335 0.0232501 0.0554045 0.0837064
261.753 0.0243581 0.0576668 0.0861681
281.888 0.0254766 0.0599062 0.0884855
302.737 0.026605 0.0621197 0.0906517
324.293 0.027743 0.0643043 0.0926599
346.551 0.0288901 0.066457 0.0945039
369.507 0.0300459 0.0685748 0.0961775
393.155 0.0312098 0.0706549 0.0976753
417.488 0.0323816 0.0726941 0.098992
442.5 0.0335605 0.0746898 0.100123
468.187 0.0347463 0.0766389 0.101063
494.541 0.0359384 0.0785388 0.10181
521.556 0.0371362 0.0803865 0.102359
549.226 0.0383394 0.0821794 0.102707
577.543 0.0395473 0.0839149 0.102853
606.501 0.0407596 0.0855902 0.102793
636.093 0.0419756 0.0872028 0.102527
666.311 0.0431948 0.0887503 0.102053
697.148 0.0444167 0.0902301 0.101372
728.597 0.0456408 0.0916399 0.100482
760.65 0.0468666 0.0929775 0.099384
793.298 0.0480934 0.0942405 0.0980799
826.535 0.0493208 0.0954269 0.0965707
860.352 0.0505482 0.0965345 0.0948586
894.741 0.051775 0.0975615 0.092946
929.693 0.0530006 0.0985059 0.090836
965.2 0.0542246 0.0993659 0.0885323
1001.25 0.0554464 0.10014 0.0860387
1037.84 0.0566653 0.100826 0.08336
1074.96 0.0578808 0.101423 0.0805011
1112.6 0.0590924 0.10193 0.0774674
1150.75 0.0602994 0.102344 0.074265
1189.4 0.0615013 0.102666 0.0709002
1228.54 0.0626975 0.102893 0.0673798
1268.16 0.0638875 0.103026 0.0637111
1308.26 0.0650706 0.103062 0.0599016
1348.81 0.0662462 0.103002 0.0559594
1389.82 0.0674139 0.102844 0.0518929
1431.27 0.068573 0.102588 0.0477106
1473.16 0.069723 0.102234 0.0434217
1515.46 0.0708632 0.101781 0.0390355
1558.18 0.071993 0.10123 0.0345616
1601.3 0.073112 0.10058 0.0300097
1644.81 0.0742196 0.0998308 0.0253901
1688.7 0.0753151 0.0989834 0.0207131
1732.96 0.076398 0.0980378 0.015989
1777.58 0.0774677 0.0969945 0.0112285
1822.54 0.0785237 0.095854 0.00644251
1867.85 0.0795654 0.094617 0.00164176
1913.48 0.0805923 0.0932843 -0.00316274
1959.42 0.0816038 0.0918569 -0.00795999
2005.67 0.0825993 0.0903357 -0.012739
2052.2 0.0835783 0.0887221 -0.0174886
2099.02 0.0845403 0.0870172 -0.0221979
2146.11 0.0854847 0.0852224 -0.026856
2193.46 0.086411 0.0833393 -0.0314519
2241.05 0.0873187 0.0813696 -0.0359749
2288.88 0.0882072 0.0793149 -0.0404145
2336.93 0.0890761 0.0771771 -0.0447601
2385.19 0.0899248 0.0749582 -0.0490014
2433.65 0.0907529 0.0726603 -0.0531286
2482.29 0.0915598 0.0702855 -0.0571317
2531.12 0.0923451 0.0678361 -0.0610012
2580.1 0.0931082 0.0653146 -0.0647278
2629.24 0.0938488 0.0627233 -0.0683028
2678.52 0.0945663 0.0600649 -0.0717174
2727.92 0.0952603 0.0573421 -0.0749634
2777.45 0.0959303 0.0545575 -0.078033
2827.07 0.096576 0.0517141 -0.0809188
2876.79 0.0971968 0.0488147 -0.0836137
2926.58 0.0977924 0.0458624 -0.0861111
2976.44 0.0983623 0.0428603 -0.088405
3026.36 0.0989062 0.0398114 -0.0904896
3076.32 0.0994236 0.0367191 -0.0923599
3126.31 0.0999142 0.0335866 -0.0940111
3176.32 0.100378 0.0304173 -0.0954391
3226.34 0.100814 0.0272145 -0.0966404
3276.35 0.101221 0.0239818 -0.0976118
3326.34 0.101601 0.0207225 -0.0983507
3376.3 0.101952 0.0174404 -0.0988554
3426.21 0.102275 0.014139 -0.0991242
3476.07 0.102568 0.0108218 -0.0991564
3525.87 0.102831 0.00749263 -0.0989517
3575.58 0.103065 0.00415509 -0.0985104
3625.21 0.103269 0.000812925 -0.0978333
3674.73 0.103442 -0.00253015 -0.0969219
3724.13 0.103585 -0.0058704 -0.0957782
3773.41 0.103697 -0.00920406 -0.0944047
3822.55 0.103779 -0.0125274 -0.0928046
3871.53 0.103829 -0.0158366 -0.0909815
3920.36 0.103847 -0.019128 -0.0889397
3969 0.103834 -0.0223978 -0.086684
4017.46 0.10379 -0.0256422 -0.0842195
4065.72 0.103713 -0.0288577 -0.0815522
4113.77 0.103604 -0.0320404 -0.0786883
4161.59 0.103464 -0.0351868 -0.0756346
4209.18 0.103291 -0.0382932 -0.0723983
4256.52 0.103085 -0.041356 -0.0689872
4303.61 0.102847 -0.0443717 -0.0654093
4350.43 0.102577 -0.0473367 -0.0616733
4396.96 0.102274 -0.0502477 -0.0577881
4443.21 0.101938 -0.0531012 -0.053763
4489.15 0.10157 -0.055894 -0.0496076
4534.77 0.101169 -0.0586226 -0.045332
4580.07 0.100736 -0.061284 -0.0409466
4625.04 0.100269 -0.0638749 -0.0364617
4669.65 0.0997705 -0.0663924 -0.0318884
4713.91 0.0992391 -0.0688335 -0.0272376
4757.79 0.098675 -0.0711952 -0.0225207
4801.3 0.0980785 -0.0734748 -0.017749
4844.42 0.0974497 -0.0756696 -0.0129342
4887.13 0.0967885 -0.0777768 -0.00808783
4929.43 0.0960952 -0.0797941 -0.00322182
4971.31 0.0953698 -0.081719 0.00165203
5012.76 0.0946125 -0.0835491 0.00652187
5053.77 0.0938235 -0.0852823 0.0113758
5094.32 0.0930029 -0.0869165 0.016202
5134.41 0.0921509 -0.0884497 0.0209887
5174.02 0.0912677 -0.08988 0.0257241
5213.16 0.0903535 -0.0912056 0.0303968
5251.8 0.0894086 -0.092425 0.0349952
5289.95 0.0884331 -0.0935366 0.0395081
5327.58 0.0874274 -0.0945391 0.0439245
5364.69 0.0863917 -0.0954312 0.0482335
5401.28 0.0853262 -0.0962118 0.0524245
5437.32 0.0842314 -0.0968798 0.0564872
5472.83 0.0831074 -0.0974345 0.0604117
5507.77 0.0819546 -0.097875 0.0641883
5542.15 0.0807734 -0.0982009 0.0678077
5575.96 0.0795641 -0.0984116 0.071261
5609.19 0.078327 -0.0985068 0.0745396
5641.84 0.0770625 -0.0984864 0.0776355
5673.88 0.0757711 -0.0983503 0.0805411
5705.32 0.074453 -0.0980985 0.0832491
5736.15 0.0731088 -0.0977313 0.0857529
5766.36 0.0717388 -0.0972491 0.0880462
5795.94 0.0703435 -0.0966524 0.0901234
5824.89 0.0689233 -0.0959418 0.0919792
5853.2 0.0674786 -0.0951181 0.0936092
5880.86 0.0660101 -0.0941822 0.0950092
5907.87 0.064518 -0.0931351 0.0961757
5934.21 0.063003 -0.091978 0.0971058
5959.89 0.0614655 -0.0907123 0.0977972
5984.89 0.059906 -0.0893394 0.0982481
6009.21 0.0583251 -0.0878608 0.0984573
6032.85 0.0567233 -0.0862783 0.0984243
6055.79 0.0551011 -0.0845936 0.0981491
6078.04 0.0534591 -0.0828088 0.0976323
6099.58 0.0517979 -0.0809258 0.0968752
6120.41 0.050118 -0.078947 0.0958795
6140.54 0.04842 -0.0768745 0.0946477
6159.94 0.0467044 -0.0747109 0.0931827
6178.62 0.044972 -0.0724586 0.0914882
6196.57 0.0432233 -0.0701203 0.0895682
6213.79 0.0414589 -0.0676987 0.0874274
6230.28 0.0396794 -0.0651967 0.0850712
6246.02 0.0378855 -0.0626173 0.0825052
6261.02 0.0360778 -0.0599633 0.0797357
6275.27 0.034257 -0.0572381 0.0767696
6288.77 0.0324236 -0.0544448 0.0736141
6301.51 0.0305784 -0.0515867 0.070277
6313.5 0.028722 -0.0486672 0.0667664
6324.72 0.0268551 -0.0456897 0.0630911
6335.18 0.0249784 -0.0426578 0.0592601
6344.88 0.0230925 -0.0395751 0.0552828
6353.8 0.0211981 -0.0364453 0.051169
6361.96 0.0192959 -0.0332719 0.0469289
6369.33 0.0173867 -0.0300589 0.0425728
6375.94 0.015471 -0.0268101 0.0381116
6381.76 0.0135497 -0.0235293 0.0335563
6386.8 0.0116233 -0.0202204 0.0289181
6391.06 0.00969265 -0.0168873 0.0242084
6394.54 0.00775842 -0.0135341 0.0194389
6397.22 0.00582133 -0.0101648 0.0146214
6399.1 0.00388208 -0.00678327 0.00976772
