Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 10
Tolerance: 1e-10
Iterations needed: 67973
Calculation time; 2.55869

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
33.4725 0.0298042 -0.0376854 -0.0427097
72.8458 0.0597312 -0.0745986 -0.0834887
112.393 0.0891645 -0.10906 -0.11946
151.978 0.117507 -0.139502 -0.148077
191.554 0.144199 -0.164553 -0.16731
231.101 0.168736 -0.183095 -0.17579
270.608 0.190683 -0.194321 -0.172902
310.067 0.209688 -0.197767 -0.158816
349.475 0.225485 -0.19332 -0.134468
388.828 0.237904 -0.181221 -0.101473
428.125 0.246871 -0.162032 -0.0619997
467.363 0.252401 -0.1366 -0.0186054
506.543 0.254596 -0.106001 0.0259524
545.662 0.253635 -0.0714804 0.0689084
584.719 0.249763 -0.0343801 0.107675
623.715 0.243278 0.00392607 0.140003
662.649 0.234515 0.0420988 0.164115
701.52 0.223839 0.0788921 0.178794
740.327 0.211624 0.113202 0.183423
779.071 0.198245 0.144102 0.177997
817.751 0.184063 0.170874 0.16307
856.367 0.169421 0.193013 0.139692
894.917 0.15463 0.210233 0.1093
933.403 0.139968 0.222454 0.0736087
971.823 0.125672 0.229784 0.0344792
1010.18 0.111941 0.232492 -0.00619606
1048.47 0.0989321 0.230978 -0.0466057
1086.69 0.0867621 0.225739 -0.0851117
1124.85 0.0755116 0.217337 -0.120322
1162.94 0.0652271 0.206367 -0.151136
1200.96 0.0559256 0.193429 -0.176773
1238.92 0.0475985 0.179101 -0.196771
1276.81 0.0402168 0.163923 -0.210971
1314.63 0.0337351 0.14838 -0.219486
1352.38 0.0280957 0.13289 -0.222655
1390.07 0.023233 0.117803 -0.220998
1427.68 0.0190767 0.103399 -0.215158
1465.23 0.0155542 0.0898867 -0.205855
1502.71 0.012594 0.0774111 -0.193838
1540.12 0.0101266 0.06606 -0.179847
1577.47 0.0080866 0.0558713 -0.164574
1614.74 0.00641337 0.0468417 -0.148649
1651.94 0.0050517 0.038935 -0.132612
1689.08 0.00395215 0.0320904 -0.116915
1726.14 0.00307105 0.0262299 -0.101914
1763.14 0.00237034 0.0212646 -0.0878721
1800.06 0.00181724 0.0171003 -0.0749682
1836.91 0.00138391 0.0136421 -0.0633071
1873.69 0.00104689 0.0107977 -0.0529295
1910.4 0.000786697 0.00847991 -0.043825
1947.04 0.000587263 0.00660841 -0.0359438
1983.61 0.000435497 0.00511069 -0.0292072
2020.11 0.00032083 0.00392257 -0.0235179
2056.53 0.000234806 0.00298812 -0.0187683
2092.88 0.000170724 0.00225937 -0.0148469
2129.16 0.000123322 0.00169576 -0.0116436
2165.37 8.85018e-05 0.00126344 -0.0090539
2201.5 6.31011e-05 0.000934491 -0.00698128
2237.56 4.46993e-05 0.000686198 -0.00533864
2273.57 3.14594e-05 0.000500261 -0.00404918
2309.53 2.19984e-05 0.000362106 -0.00304639
2345.49 1.52838e-05 0.000260246 -0.00227365
2381.55 1.05505e-05 0.00018572 -0.00168351
2417.83 7.23642e-06 0.000131605 -0.0012368
2454.5 4.93161e-06 9.26074e-05 -0.00090157
2491.71 3.33944e-06 6.47126e-05 -0.000652154
2529.57 2.24689e-06 4.49073e-05 -0.000468143
2568.13 1.50217e-06 3.09487e-05 -0.00033351
2607.4 9.97911e-07 2.11826e-05 -0.000235813
2647.35 6.58723e-07 1.43992e-05 -0.000165493
2687.96 4.32073e-07 9.72147e-06 -0.000115282
2729.17 2.81617e-07 6.51884e-06 -7.97155e-05
2770.96 1.82395e-07 4.34176e-06 -5.47188e-05
2813.27 1.17388e-07 2.87228e-06 -3.72876e-05
2856.09 7.50754e-08 1.88741e-06 -2.52258e-05
2899.38 4.77128e-08 1.23194e-06 -1.69432e-05
2943.11 3.01329e-08 7.98747e-07 -1.12988e-05
2987.26 1.89113e-08 5.14438e-07 -7.48126e-06
3031.79 1.17944e-08 3.29132e-07 -4.9185e-06
3076.7 7.30998e-09 2.09185e-07 -3.21088e-06
3121.95 4.50235e-09 1.32074e-07 -2.08144e-06
3167.52 2.75582e-09 8.2841e-08 -1.33987e-06
3213.4 1.67631e-09 5.162e-08 -8.56517e-07
3259.57 1.01334e-09 3.19554e-08 -5.43747e-07
3306.01 6.08777e-10 1.9653e-08 -3.42812e-07
3352.69 3.63469e-10 1.20084e-08 -2.14648e-07
3399.61 2.15663e-10 7.28975e-09 -1.33481e-07
3446.75 1.27174e-10 4.39666e-09 -8.24412e-08
3494.09 7.45267e-11 2.63465e-09 -5.05726e-08
3541.61 4.34073e-11 1.56862e-09 -3.08134e-08
3589.3 2.51316e-11 9.27918e-10 -1.86479e-08
3637.15 1.4457e-11 5.45392e-10 -1.12097e-08
3685.13 8.2652e-12 3.18504e-10 -6.69336e-09
3733.23 4.69913e-12 1.84813e-10 -3.96997e-09
3781.44 2.64827e-12 1.06556e-10 -2.33902e-09
3829.74 1.49013e-12 6.10392e-11 -1.36896e-09
3878.11 8.33873e-13 3.47526e-11 -7.95916e-10
3926.55 4.61886e-13 1.9665e-11 -4.59694e-10
3975.04 2.51796e-13 1.10636e-11 -2.6377e-10
4023.56 1.42744e-13 6.18956e-12 -1.5036e-10
4072.1 7.54754e-14 3.4423e-12 -8.51523e-11
4120.64 3.94361e-14 1.89464e-12 -4.79104e-11
4169.17 2.19408e-14 1.03487e-12 -2.67881e-11
4217.67 9.00282e-15 5.55185e-13 -1.48845e-11
4266.14 4.82384e-15 2.94457e-13 -8.22374e-12
4314.56 7.75379e-15 1.57178e-13 -4.5171e-12
4362.9 6.02147e-15 8.33055e-14 -2.45606e-12
4411.17 -5.24528e-15 4.58485e-14 -1.32108e-12
4459.34 5.62853e-16 3.03809e-14 -7.09254e-13
4507.39 -3.2527e-15 2.16533e-14 -3.70621e-13
4555.33 5.55861e-16 1.32131e-14 -1.88646e-13
4603.13 5.81915e-15 1.06716e-14 -9.59855e-14
4650.77 6.42123e-15 -7.7684e-16 -4.62092e-14
4698.25 -3.58256e-15 -4.10059e-15 -1.60456e-14
4745.55 -1.8272e-15 1.21282e-15 -1.66469e-14
4792.65 -5.36846e-15 2.64262e-15 -1.51455e-14
4839.55 -2.7818e-15 5.52549e-15 -3.25873e-17
4886.22 3.152e-15 6.96508e-15 -4.73559e-15
4932.65 8.94772e-15 4.02427e-15 -9.01609e-15
4978.84 5.06862e-17 -5.00244e-16 -1.81252e-14
5024.76 -5.26079e-15 1.40736e-15 -2.0979e-14
5070.4 -5.73996e-15 -3.57274e-15 -1.63333e-14
5115.74 -6.90543e-15 -7.49109e-15 -1.47141e-14
5160.78 -1.55085e-15 -8.30632e-15 -1.62554e-14
5205.5 9.10624e-15 -1.30129e-14 -2.07218e-14
5249.87 6.32984e-15 -1.64064e-14 -1.18958e-14
5293.9 -4.30554e-15 -1.3106e-14 -5.08547e-15
5337.55 -1.56153e-15 -1.45962e-14 -5.74904e-15
5380.83 -6.54121e-15 -1.07079e-14 -5.00713e-15
5423.71 -8.83272e-15 -6.56485e-15 -8.87571e-15
5466.17 4.63596e-15 -3.03682e-15 -1.12873e-14
5508.21 7.27586e-15 -7.11824e-15 -9.34125e-15
5549.8 4.33626e-15 3.7317e-15 -3.59169e-15
5590.94 1.24951e-15 4.17221e-15 1.3776e-15
5631.59 -1.86546e-15 2.71934e-15 5.64157e-15
5671.76 -9.2173e-15 2.3259e-15 4.22743e-15
5711.41 -6.17113e-15 1.27217e-15 -7.61925e-15
5750.53 4.77432e-15 -8.85165e-16 -8.59773e-15
5789.1 3.15096e-15 2.10185e-15 3.54541e-15
5827.11 5.89146e-15 7.54207e-15 6.12987e-15
5864.53 2.52246e-15 5.30288e-15 -2.938e-15
5901.34 -4.6001e-15 5.38956e-15 -5.48678e-15
5937.53 -1.31088e-15 3.5892e-15 -3.13174e-15
5973.06 -4.86925e-15 2.81308e-15 -2.90553e-15
6007.91 -2.20741e-16 4.37628e-17 3.3368e-15
6042.05 6.69991e-16 6.65237e-15 4.01616e-15
6075.46 5.45617e-16 5.86805e-15 -5.62632e-16
6108.1 2.43534e-15 1.17212e-15 4.11623e-15
6139.94 1.43163e-15 5.65191e-15 6.55913e-15
6170.93 8.25928e-16 3.56089e-15 -3.01711e-15
6201.03 1.48165e-16 1.36456e-15 -1.16061e-14
6230.18 -9.33648e-16 1.21934e-15 -6.02084e-15
6258.32 -3.35764e-16 3.93594e-15 1.98712e-15
6285.37 -1.50149e-15 1.80373e-15 -1.82378e-15
6311.21 -8.78279e-16 -1.44023e-15 -3.99507e-15
6335.7 -2.35003e-15 3.52236e-15 -3.66158e-15
6358.61 -3.14489e-15 -1.38643e-15 -4.57384e-15
6379.57 2.55571e-15 -3.85674e-15 1.82013e-15
6398.37 2.02945e-15 2.55045e-16 8.1656e-15
6416.56 4.84981e-15 3.63714e-16 6.45741e-15
6436.6 5.56001e-15 -1.376e-15 -1.67129e-16
6458.9 2.33133e-15 -1.45102e-15 -6.59231e-16
6483.08 -8.42414e-16 1.46133e-16 1.13753e-14
6508.89 -3.73022e-15 4.76186e-17 1.45003e-14
