Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 0.01
Tolerance: 1e-10
Iterations needed: 71605
Calculation time; 2.90168

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
0.834458 0.000722059 0.00189036 0.00326383
2.15489 0.00146179 0.00382544 0.0066007
4.19818 0.00221904 0.00580318 0.0100028
6.99541 0.00299361 0.00782147 0.0134619
10.558 0.00378534 0.00987811 0.0169699
14.8906 0.00459402 0.0119708 0.0205182
19.9952 0.00541945 0.0140973 0.0240982
25.8722 0.0062614 0.0162552 0.027701
32.5215 0.00711966 0.0184419 0.0313176
39.9421 0.00799398 0.020655 0.0349391
48.1327 0.00888411 0.022892 0.0385563
57.0917 0.00978981 0.0251501 0.0421599
66.8173 0.0107108 0.0274268 0.0457408
77.3072 0.0116468 0.0297193 0.0492896
88.5592 0.0125975 0.0320248 0.052797
100.571 0.0135626 0.0343406 0.056254
113.338 0.0145419 0.0366638 0.0596512
126.86 0.015535 0.0389915 0.0629797
141.132 0.0165415 0.0413208 0.0662303
156.15 0.0175612 0.0436489 0.0693943
171.912 0.0185937 0.0459728 0.072463
188.414 0.0196386 0.0482894 0.0754279
205.651 0.0206955 0.0505959 0.0782805
223.619 0.0217642 0.0528893 0.0810128
242.315 0.0228442 0.0551665 0.083617
261.732 0.0239352 0.0574246 0.0860853
281.868 0.0250366 0.0596606 0.0884106
302.716 0.0261482 0.0618714 0.0905857
324.273 0.0272695 0.0640542 0.0926041
346.531 0.0284001 0.0662059 0.0944593
369.487 0.0295396 0.0683236 0.0961454
393.134 0.0306874 0.0704044 0.0976567
417.467 0.0318433 0.0724454 0.0989881
442.48 0.0330066 0.0744438 0.100135
468.167 0.034177 0.0763966 0.101092
494.521 0.035354 0.078301 0.101857
521.536 0.0365371 0.0801544 0.102425
549.205 0.0377259 0.081954 0.102793
577.523 0.0389198 0.0836972 0.10296
606.481 0.0401183 0.0853813 0.102922
636.072 0.041321 0.0870037 0.102678
666.29 0.0425274 0.0885621 0.102228
697.128 0.0437369 0.0900539 0.10157
728.577 0.044949 0.0914767 0.100705
760.629 0.0461632 0.0928284 0.0996332
793.278 0.047379 0.0941066 0.098355
826.515 0.0485958 0.0953092 0.0968723
860.332 0.0498131 0.0964342 0.0951868
894.721 0.0510304 0.0974795 0.0933012
929.673 0.0522471 0.0984432 0.0912184
965.18 0.0534628 0.0993237 0.0889419
1001.23 0.0546767 0.100119 0.0864756
1037.82 0.0558884 0.100828 0.083824
1074.94 0.0570973 0.101448 0.0809919
1112.58 0.0583029 0.101979 0.0779849
1150.73 0.0595046 0.102419 0.0748088
1189.38 0.0607019 0.102766 0.0714697
1228.52 0.0618941 0.10302 0.0679745
1268.14 0.0630807 0.10318 0.0643302
1308.23 0.0642612 0.103245 0.0605444
1348.79 0.0654349 0.103214 0.0566249
1389.8 0.0666013 0.103086 0.0525801
1431.25 0.0677599 0.102861 0.0484186
1473.14 0.06891 0.102538 0.0441492
1515.44 0.0700511 0.102117 0.0397813
1558.16 0.0711826 0.101597 0.0353242
1601.28 0.072304 0.10098 0.0307879
1644.79 0.0734147 0.100264 0.0261823
1688.68 0.074514 0.0994499 0.0215176
1732.94 0.0756016 0.098538 0.0168043
1777.56 0.0766767 0.0975286 0.0120528
1822.52 0.0777388 0.0964222 0.007274
1867.83 0.0787874 0.0952194 0.00247863
1913.46 0.0798219 0.0939211 -0.0023224
1959.4 0.0808418 0.0925279 -0.00711812
2005.65 0.0818464 0.0910411 -0.0118975
2052.18 0.0828354 0.0894615 -0.0166496
2099 0.083808 0.0877906 -0.0213635
2146.09 0.0847638 0.0860296 -0.0260281
2193.44 0.0857022 0.0841799 -0.0306327
2241.03 0.0866228 0.0822432 -0.0351665
2288.86 0.0875249 0.0802212 -0.0396189
2336.9 0.0884081 0.0781156 -0.0439794
2385.17 0.0892718 0.0759283 -0.0482378
2433.63 0.0901156 0.0736614 -0.0523839
2482.27 0.0909389 0.071317 -0.0564081
2531.1 0.0917413 0.0688972 -0.0603006
2580.08 0.0925221 0.0664045 -0.0640523
2629.22 0.0932811 0.0638413 -0.0676542
2678.5 0.0940176 0.06121 -0.0710975
2727.9 0.0947312 0.0585133 -0.0743741
2777.43 0.0954215 0.0557539 -0.0774759
2827.05 0.096088 0.0529345 -0.0803956
