Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 0.5
Tolerance: 1e-10
Iterations needed: 71334
Calculation time; 2.82482

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
2.23088 0.0020587 -0.00297785 0.0039883
4.16645 0.004166 -0.0060224 0.00806042
6.36945 0.00631957 -0.00912655 0.0122012
9.16174 0.00851699 -0.012283 0.0163951
12.7036 0.0107558 -0.0154842 0.0206263
17.0222 0.0130334 -0.0187226 0.0248785
22.118 0.0153472 -0.0219903 0.0291354
27.9895 0.0176944 -0.0252794 0.0333805
34.6351 0.0200724 -0.0285818 0.0375973
42.0532 0.0224784 -0.0318894 0.0417691
50.2421 0.0249094 -0.035194 0.0458795
59.1998 0.0273626 -0.0384874 0.0499121
68.9244 0.029835 -0.0417612 0.0538506
79.4136 0.0323237 -0.0450073 0.0576792
90.665 0.0348256 -0.0482175 0.0613823
102.676 0.0373378 -0.0513835 0.0649447
115.443 0.0398572 -0.0544972 0.0683517
128.965 0.0423808 -0.0575508 0.071589
143.236 0.0449055 -0.0605362 0.074643
158.255 0.0474283 -0.0634458 0.0775007
174.017 0.049946 -0.0662719 0.0801498
190.518 0.0524558 -0.0690072 0.0825787
207.755 0.0549545 -0.0716445 0.0847766
225.723 0.0574391 -0.0741768 0.0867335
244.418 0.0599067 -0.0765974 0.0884404
263.836 0.0623543 -0.0788998 0.0898891
283.972 0.0647791 -0.0810779 0.0910722
304.82 0.0671782 -0.0831256 0.0919837
326.376 0.0695487 -0.0850374 0.0926181
348.635 0.0718879 -0.0868082 0.0929713
371.591 0.0741931 -0.0884328 0.09304
395.238 0.0764616 -0.0899067 0.0928221
419.571 0.0786909 -0.0912258 0.0923164
444.584 0.0808785 -0.0923861 0.0915231
470.27 0.0830219 -0.0933842 0.090443
496.624 0.0851188 -0.0942171 0.0890783
523.639 0.0871668 -0.0948819 0.0874321
551.309 0.0891639 -0.0953764 0.0855086
579.626 0.091108 -0.0956988 0.083313
608.584 0.0929969 -0.0958475 0.0808516
638.176 0.0948288 -0.0958215 0.0781314
668.394 0.0966018 -0.0956202 0.0751607
699.231 0.0983143 -0.0952432 0.0719485
730.68 0.0999647 -0.0946908 0.0685046
762.733 0.101551 -0.0939636 0.06484
795.382 0.103073 -0.0930624 0.060966
828.619 0.104528 -0.0919887 0.0568951
862.436 0.105916 -0.0907442 0.0526402
896.824 0.107235 -0.0893311 0.048215
931.776 0.108484 -0.0877519 0.0436338
967.283 0.109663 -0.0860095 0.0389114
1003.34 0.11077 -0.0841072 0.034063
1039.93 0.111805 -0.0820484 0.0291044
1077.05 0.112768 -0.0798373 0.0240516
1114.68 0.113658 -0.0774779 0.0189211
1152.83 0.114475 -0.0749749 0.0137295
1191.48 0.115219 -0.072333 0.00849349
1230.62 0.115889 -0.0695575 0.00323012
1270.24 0.116485 -0.0666537 -0.00204366
1310.34 0.117008 -0.0636272 -0.00731086
1350.9 0.117457 -0.0604839 -0.0125546
1391.9 0.117834 -0.0572299 -0.017758
1433.36 0.118138 -0.0538714 -0.0229046
1475.24 0.11837 -0.0504149 -0.027978
1517.55 0.11853 -0.0468669 -0.0329621
1560.26 0.11862 -0.0432343 -0.0378412
1603.38 0.11864 -0.0395239 -0.0426002
1646.89 0.118591 -0.0357426 -0.0472241
1690.78 0.118473 -0.0318975 -0.0516987
1735.04 0.118288 -0.0279957 -0.0560103
1779.66 0.118037 -0.0240445 -0.0601458
1824.63 0.117722 -0.0200509 -0.0640925
1869.93 0.117342 -0.0160222 -0.0678389
1915.56 0.116901 -0.0119657 -0.0713737
1961.5 0.116398 -0.00788838 -0.0746866
2007.75 0.115835 -0.00379752 -0.0777682
2054.29 0.115215 0.000299844 -0.0806096
2101.11 0.114538 0.0043967 -0.083203
2148.19 0.113806 0.00848612 -0.0855412
2195.54 0.113021 0.0125613 -0.0876181
2243.13 0.112184 0.0166156 -0.0894284
2290.96 0.111298 0.0206423 -0.0909675
2339.01 0.110363 0.0246352 -0.092232
2387.27 0.109382 0.0285879 -0.0932192
2435.73 0.108356 0.0324943 -0.0939272
2484.38 0.107287 0.0363486 -0.0943552
2533.2 0.106178 0.0401451 -0.0945032
2582.19 0.105029 0.0438783 -0.094372
2631.32 0.103843 0.0475428 -0.0939632
2680.6 0.102622 0.0511337 -0.0932795
2730.01 0.101368 0.0546461 -0.0923242
2779.53 0.100082 0.0580754 -0.0911013
2829.15 0.0987665 0.0614172 -0.0896158
2878.87 0.0974232 0.0646675 -0.0878734
2928.67 0.096054 0.0678224 -0.0858803
2978.53 0.0946609 0.0708783 -0.0836437
3028.45 0.0932456 0.0738319 -0.0811711
3078.41 0.09181 0.0766801 -0.0784709
3128.4 0.0903559 0.0794201 -0.0755519
3178.4 0.0888851 0.0820493 -0.0724236
3228.42 0.0873995 0.0845655 -0.0690958
3278.43 0.0859006 0.0869667 -0.0655788
3328.42 0.0843903 0.0892511 -0.0618835
3378.38 0.0828703 0.0914173 -0.058021
3428.3 0.0813422 0.0934639 -0.0540027
3478.16 0.0798076 0.09539 -0.0498405
3527.95 0.0782681 0.0971948 -0.0455462
3577.67 0.0767253 0.098878 -0.0411323
3627.29 0.0751807 0.100439 -0.0366109
3676.81 0.0736357 0.101878 -0.0319947
3726.22 0.0720918 0.103196 -0.0272962
3775.49 0.0705503 0.104392 -0.0225281
3824.63 0.0690127 0.105467 -0.0177028
3873.62 0.0674801 0.106423 -0.0128331
3922.44 0.0659539 0.10726 -0.00793144
3971.08 0.0644353 0.10798 -0.00301013
4019.54 0.0629254 0.108583 0.00191855
4067.8 0.0614253 0.109072 0.00684256
4115.85 0.0599361 0.109449 0.0117501
4163.67 0.0584588 0.109714 0.0166296
4211.26 0.0569944 0.109872 0.0214697
4258.61 0.0555438 0.109923 0.0262595
4305.69 0.0541078 0.10987 0.0309883
4352.51 0.0526874 0.109715 0.0356458
4399.05 0.0512832 0.109462 0.0402221
4445.29 0.049896 0.109113 0.0447078
4491.23 0.0485266 0.10867 0.0490936
4536.86 0.0471754 0.108137 0.053371
4582.16 0.0458432 0.107516 0.0575317
4627.12 0.0445304 0.106811 0.0615681
4671.73 0.0432376 0.106025 0.0654728
4715.99 0.0419652 0.10516 0.0692391
4759.88 0.0407137 0.104221 0.0728607
4803.38 0.0394834 0.103209 0.0763318
4846.5 0.0382746 0.10213 0.0796471
4889.21 0.0370877 0.100985 0.0828018
4931.52 0.0359228 0.0997776 0.0857917
4973.4 0.0347803 0.0985118 0.088613
5014.84 0.0336603 0.0971905 0.0912624
5055.85 0.0325629 0.0958171 0.093737
5096.4 0.0314882 0.0943946 0.0960347
5136.49 0.0304364 0.0929263 0.0981536
5176.11 0.0294074 0.0914154 0.100092
5215.24 0.0284013 0.0898649 0.10185
5253.89 0.027418 0.088278 0.103426
5292.03 0.0264575 0.0866578 0.10482
5329.66 0.0255197 0.0850071 0.106034
5366.78 0.0246045 0.0833288 0.107067
5403.36 0.0237119 0.081626 0.107921
5439.41 0.0228415 0.0799012 0.108597
5474.91 0.0219933 0.0781572 0.109098
5509.85 0.021167 0.0763967 0.109426
5544.24 0.0203625 0.0746222 0.109582
5578.05 0.0195794 0.0728361 0.109571
5611.28 0.0188176 0.0710409 0.109396
5643.92 0.0180767 0.0692388 0.109059
5675.96 0.0173565 0.0674321 0.108564
5707.4 0.0166566 0.0656228 0.107916
5738.23 0.0159768 0.063813 0.107119
5768.44 0.0153166 0.0620046 0.106177
5798.03 0.0146757 0.0601995 0.105093
5826.98 0.0140538 0.0583993 0.103874
5855.28 0.0134505 0.0566057 0.102524
5882.94 0.0128654 0.0548203 0.101047
5909.95 0.0122982 0.0530445 0.0994488
5936.29 0.0117483 0.0512796 0.097734
5961.97 0.0112154 0.0495269 0.095908
5986.97 0.0106992 0.0477876 0.0939757
6011.29 0.0101991 0.0460626 0.0919423
6034.93 0.00971469 0.0443529 0.089813
6057.87 0.00924562 0.0426595 0.0875928
6080.12 0.00879141 0.040983 0.0852868
6101.66 0.00835162 0.0393242 0.0829001
6122.5 0.0079258 0.0376836 0.0804376
6142.62 0.0075135 0.0360617 0.0779044
6162.02 0.00711427 0.0344588 0.0753051
6180.7 0.00672765 0.0328754 0.0726445
6198.65 0.00635318 0.0313116 0.0699273
6215.87 0.00599041 0.0297676 0.0671578
6232.36 0.00563886 0.0282433 0.0643405
6248.1 0.00529808 0.0267387 0.0614797
6263.1 0.00496759 0.0252538 0.0585792
6277.35 0.00464693 0.0237883 0.0556431
6290.85 0.00433562 0.0223419 0.0526751
6303.59 0.00403319 0.0209142 0.0496786
6315.58 0.00373916 0.0195047 0.0466572
6326.8 0.00345305 0.018113 0.0436139
6337.26 0.00317438 0.0167384 0.0405518
6346.95 0.00290267 0.0153802 0.0374736
6355.87 0.00263741 0.0140377 0.0343819
6364.03 0.00237813 0.0127099 0.0312791
6371.4 0.00212431 0.011396 0.0281672
6378 0.00187545 0.0100949 0.0250484
6383.81 0.00163104 0.00880557 0.0219241
6388.85 0.00139057 0.00752679 0.018796
6393.09 0.0011535 0.00625733 0.0156653
6396.52 0.00091929 0.00499585 0.0125329
6399.11 0.000687403 0.00374092 0.00939982
6400.76 0.000457276 0.00249105 0.00626644
6402.72 0.000228337 0.00124464 0.00313314
