Parameters (omega ignored when numberOfElectrons = 1):
n: 200
numberOfElectrons: 2
rhoFinal: 5
omega: 2.5
Tolerance: 1e-10
Iterations needed: 70612
Calculation time; 2.8337

Eigenvalues--- ---First Eigenvector--- ---Second--- ---Third
9.20975 0.00932509 -0.0122075 0.0140897
18.95 0.0188297 -0.0245756 0.0282782
28.7911 0.0284614 -0.0369602 0.0423115
38.6752 0.0381671 -0.0492157 0.0559371
48.5814 0.0478932 -0.0611979 0.0689078
58.4999 0.0575859 -0.072765 0.0809873
68.4256 0.0671922 -0.0837799 0.0919541
78.3553 0.0766598 -0.0941118 0.101606
88.2871 0.0859376 -0.103638 0.109762
98.2195 0.0949765 -0.112245 0.11627
108.152 0.103729 -0.11983 0.121005
118.088 0.112151 -0.126304 0.123873
128.051 0.120201 -0.13159 0.124814
138.139 0.12784 -0.135624 0.123801
148.579 0.135032 -0.13836 0.12084
159.658 0.141746 -0.139763 0.115972
171.568 0.147954 -0.139816 0.109271
184.365 0.153633 -0.138518 0.100842
198.04 0.158762 -0.135882 0.0908177
212.567 0.163326 -0.131934 0.0793589
227.918 0.167314 -0.126718 0.0666488
244.074 0.170717 -0.120288 0.0528905
261.017 0.173534 -0.112712 0.0383031
278.732 0.175765 -0.10407 0.0231175
297.208 0.177415 -0.0944492 0.0075725
316.435 0.178491 -0.0839487 -0.00808961
336.402 0.179006 -0.0726733 -0.0236273
357.101 0.178975 -0.0607337 -0.0388037
378.524 0.178416 -0.0482453 -0.0533908
400.664 0.177351 -0.0353261 -0.0671729
423.514 0.175802 -0.0220956 -0.0799497
447.065 0.173795 -0.00867311 -0.09154
471.311 0.171358 0.00482368 -0.101783
496.245 0.16852 0.0182798 -0.110543
521.86 0.165312 0.0315845 -0.117707
548.148 0.161765 0.0446321 -0.123188
575.103 0.157911 0.0573233 -0.126929
602.717 0.153782 0.0695659 -0.128895
630.983 0.149411 0.0812756 -0.129081
659.894 0.144831 0.0923766 -0.127507
689.442 0.140074 0.102802 -0.124216
719.619 0.13517 0.112495 -0.119275
750.419 0.130151 0.121406 -0.112772
781.833 0.125046 0.129499 -0.104815
813.853 0.119884 0.136743 -0.0955269
846.471 0.114691 0.143119 -0.085045
879.679 0.109492 0.148618 -0.0735184
913.469 0.104312 0.153237 -0.0611045
947.832 0.0991721 0.156983 -0.0479665
982.761 0.0940936 0.15987 -0.0342711
1018.25 0.0890949 0.16192 -0.0201853
1054.28 0.0841928 0.163159 -0.00587434
1090.85 0.0794023 0.163621 0.00850072
1127.95 0.0747368 0.163344 0.0227851
1165.57 0.0702077 0.162372 0.0368323
1203.7 0.0658249 0.160749 0.0505054
1242.33 0.0615966 0.158525 0.063679
1281.46 0.0575294 0.155751 0.0762397
1321.06 0.0536283 0.152478 0.0880875
1361.14 0.0498969 0.148759 0.0991362
1401.69 0.0463378 0.144648 0.109314
1442.68 0.0429518 0.140198 0.118562
1484.12 0.039739 0.135459 0.126837
1526 0.0366983 0.130482 0.134109
1568.29 0.0338277 0.125315 0.140362
1611 0.0311243 0.120005 0.145591
1654.11 0.0285845 0.114596 0.149803
1697.61 0.0262041 0.109128 0.153017
1741.49 0.0239784 0.103639 0.155262
1785.74 0.021902 0.0981654 0.156573
1830.35 0.0199694 0.0927383 0.156996
1875.31 0.0181747 0.0873869 0.156582
1920.6 0.0165117 0.0821368 0.155386
1966.22 0.0149741 0.0770107 0.153469
2012.16 0.0135556 0.072028 0.150893
2058.39 0.0122497 0.0672054 0.147725
2104.93 0.01105 0.0625567 0.144031
2151.74 0.00995034 0.0580929 0.139876
2198.82 0.00894436 0.0538225 0.135327
2246.16 0.00802601 0.0497518 0.130448
2293.74 0.00718937 0.0458848 0.1253
2341.56 0.00642873 0.0422235 0.119943
2389.61 0.00573858 0.0387681 0.114434
2437.86 0.00511364 0.0355172 0.108824
2486.31 0.00454888 0.0324681 0.103164
2534.96 0.00403951 0.0296168 0.0974965
2583.77 0.00358101 0.026958 0.0918638
2632.75 0.00316909 0.0244859 0.0863021
2681.89 0.00279975 0.0221936 0.0808435
2731.16 0.00246922 0.0200739 0.0755164
2780.56 0.002174 0.018119 0.0703447
2830.08 0.00191081 0.0163208 0.0653487
2879.69 0.00167662 0.014671 0.0605449
2929.41 0.00146864 0.0131612 0.0559463
2979.2 0.00128428 0.0117829 0.0515628
3029.05 0.00112116 0.0105278 0.0474012
3078.96 0.000977105 0.00938755 0.0434654
3128.92 0.000850123 0.00835423 0.0397572
3178.9 0.000738397 0.00741998 0.0362759
3228.91 0.000640277 0.00657727 0.033019
3278.92 0.000554262 0.00581888 0.0299823
3328.92 0.000478999 0.00513793 0.0271603
3378.91 0.000413262 0.00452789 0.024546
3428.86 0.00035595 0.0039826 0.0221318
3478.77 0.000306075 0.00349627 0.0199091
3528.63 0.000262749 0.00306346 0.0178687
3578.42 0.000225181 0.00267913 0.0160012
3628.13 0.000192663 0.00233859 0.0142968
3677.75 0.000164567 0.00203748 0.0127455
3727.26 0.000140334 0.00177181 0.0113375
